SiteName,date,PM2.5,AQI,CO,NO2,O3,SO2,SiteTypes,SiteX,SiteY
八达岭,20160804,85.125,82.29166667,0.925,33.20833333,142.5416667,2,对照点及区域点,115.988,40.365
八达岭,20160606,72.05263158,114.5,0.89,57.1,97.23529412,7.35,对照点及区域点,115.988,40.365
八达岭,20160317,238.4166667,263.5,1.916666667,NA,52.375,27.20833333,对照点及区域点,115.988,40.365
八达岭,20161016,NA,NA,NA,NA,NA,NA,对照点及区域点,115.988,40.365
八达岭,20160712,26.375,82.20833333,1.095652174,33.75,56.52173913,2,对照点及区域点,115.988,40.365
八达岭,20160223,10.66666667,36.95833333,0.329166667,15.83333333,67.70833333,6.208333333,对照点及区域点,115.988,40.365
八达岭,20161221,136.3333333,164.125,2.441666667,77.125,7.708333333,59.29166667,对照点及区域点,115.988,40.365
八达岭,20160316,170.5833333,181.5833333,1.641666667,71.91666667,46.29166667,37.125,对照点及区域点,115.988,40.365
八达岭,20160627,53.72727273,64.34782609,0.982608696,44.73913043,107.2173913,3.772727273,对照点及区域点,115.988,40.365
八达岭,20160711,89.54545455,123.2173913,2.073913043,43.56521739,117.0869565,2.347826087,对照点及区域点,115.988,40.365
八达岭,20160308,11.27777778,34.21428571,0.344444444,13.11111111,71.88888889,4.5,对照点及区域点,115.988,40.365
八达岭,20160704,156.6666667,177.875,1.079166667,60.83333333,122.9166667,3.541666667,对照点及区域点,115.988,40.365
八达岭,20160604,101.2083333,134.1666667,1.025,69.29166667,151.9583333,12.16666667,对照点及区域点,115.988,40.365
八达岭,20160413,59.33333333,101.4166667,0.4375,42.60869565,59.33333333,3,对照点及区域点,115.988,40.365
八达岭,20160725,NA,NA,NA,NA,NA,NA,对照点及区域点,115.988,40.365
八达岭,20160130,21.25,64.125,0.758333333,28.45833333,43.58333333,15.54166667,对照点及区域点,115.988,40.365
八达岭,20161127,NA,NA,NA,NA,NA,NA,对照点及区域点,115.988,40.365
